name,bc_id,rarity,syndicate,drop,alt_name,type_of_card,subtype,talents,Ability,energy_cost
Aristocat,00000120,Common,Sentinels of Eternity,5,,Glitch,Aristocrat,Extraction,,1
Big Bad,00000387,Epic,Curators Maxima,2,Eagre Spirit,Glitch,Creature,Bit Thirsty,Sacrifice 2 allies in order to play Big Bad,1
Binary Blast,00000018,Common,,3,,Software,Plug 'n' Play,,"Deal 2 damage to target Glitch X times, where X is the amount of other Software you have activated this turn",1
Blindsided,00000642,Common,,3,,Software,Plug 'n' Play,,Deal 3 damage to a staggered enemy,1
Bodyshield,00000598,Rare,,3,,Software,Plug 'n' Play,,Sacrifice an ally in order to stop Software with a cost of 4 or lower,1
Bumbling Boomerang,00001560,Common,,3,,Software,Plug 'n' Play,,Deal 2 damage to target ally and 3 damage to target enemy,1
Cracked Cricket,00000056,Common,Curators Maxima,3,,Glitch,Creature,,"Whenever you initialize a Glitch, give Cracked Cricket Surge until end of turn",1
Delicious Infusion,00000592,Common,,4,,Software,Installation Required,,Take 3 damage: Give target Glitch +2/+0,1
Devout Mesmerist,00001507,Common,Guardians of the Source,4,,Glitch,Purifier,,"Whenever you recruit a Glitch, give Devout Mesmerist  +2/+2",1
Elixir of Aggression,00000395,Common,,2,,Software,Plug 'n' Play,,All allies with Protector are able to attack until end of turn,1
Encrypt,00000050,Common,,1,,Software,Plug 'n' Play,,Give target Glitch Indestructable until end of turn,1
Essence Witch,00000615,Common,Song of the Chain,2,,Glitch,Chaos Agent,,"Whenever your opponent discards a card, give this +1/+1",1
Fatal Flash,00000036,Uncommon,Sentinels of Eternity,1,Bushido Bolt,Glitch,Samurai,Surge,"When Fatal Flash is initialized, you may sacrifice an ally and give Fatal Flash +X/+0, where X is their power. If you do that Fatal Flash dies at the end of turn",1
Firmware Update,00000064,Common,,2,,Software,Plug 'n' Play,,Give target Glitch Overflow until end of turn,1
Florescent Cube,00000144,Common,Guardians of the Source,5,,Glitch,Celestial,,"When Florescent Cube dies, your opponent loses 1 energy",1
Gentle Giant,00000061,Common,Adamant Hands,3,,Glitch,Mecha,"Regenerate,Protector",,1
Hoarder,00001549,Uncommon,Sentinels of Eternity,2,Jewelry Thief,Glitch,Aristocrat,,2 energy: Give target ally target talent Hoarder has,1
